mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
ago.-11,"5,18","52,14741935","26,85967742","33,06","62,9","79,09870968","25,38580645","33,79709677",,
set.-11,"0,44","43,463","28,25","32,967","11,95","76,045","25,536","33,41466667",,
out.-11,"49,85","49,82064516","28,80064516","35,12032258","11,13","72,64870968","26,56322581","34,83064516",,
nov.-11,"12,46","46,846","29,43966667","35,75866667","17,34","72,01333333","27,005","34,75766667",,
dez.-11,"3,85","44,28451613","29,76225806","34,82612903","9,38","70,62225806","27,30612903","34,42129032",,
jan.-12,"58,93","54,27451613","28,50354839","35,61967742","39,71","72,43032258","27,25129032","35,19774194",,
fev.-12,"147,55","62,84896552","26,99655172","34,9037931","109,39","75,91724138","26,96586207","33,96310345",,
mar.-12,"45,8","61,93774194","27,28806452","35,20451613","72,89","76,00290323","27,2783871","35,38903226",,
abr.-12,"43,97","56,428","28,36233333","34,995","46,33","74,61166667","27,61933333","35,24266667",,
mai.-12,"16,73","50,15419355","28,75","35,15032258","46,25","73,44870968","27,27709677","34,75741935",,
jun.-12,"20,39","51,83133333","27,88733333","34,804","161,18","79,312","26,183","34,94733333",,
jul.-12,"4,12","49,48129032","27,1616129","33,69580645","103,57","80,03451613","25,21","34,26064516",,
ago.-12,"2,23","43,80225806","27,47612903","32,2683871","24,17","74,9683871","25,31","33,74193548",,
set.-12,"0,31","39,97233333","28,55366667","32,925","10,24","70,694","25,96","34,167",,
out.-12,"6,14","41,18677419","29,75709677","34,34516129","7,65","70,73580645","26,4016129","34,36709677",,
nov.-12,"1,8","42,34","30,13","35,28066667","0,85","68,61066667","27,13733333","34,48233333",,
dez.-12,"2,96","43,66612903","30,40032258","35,91709677","2,84","70,21774194","27,46677419","35,24258065",,
jan.-13,"28,4","48,53290323","29,79451613","37,03483871","14,86","71,22322581","27,71096774","35,53483871",,
fev.-13,"55,35","51,58178571","29,38464286","36,22107143","41,37","72,27357143","27,87607143","35,58285714",,
mar.-13,"102,08","58,41516129","28,82709677","37,16483871","38,64","72,12225806","28,21709677","36,23806452",,
abr.-13,"130,97","68,253","27,27733333","36,57866667","105,19","74,30966667","28,082","36,35666667",,
mai.-13,"68,03","69,2216129","26,21709677","35,46548387","133,78","79,27","27,01645161","35,93774194",,
jun.-13,"83,62","66,623","25,893","35,024","188,25","81,399","26,22","35,763",,
jul.-13,"30,58","60,89451613","25,91516129","34,39645161","223,34","82,46032258","25,41193548","34,99032258",,
ago.-13,"3,79","47,47548387","27,81612903","33,87483871","86,49","77,58258065","25,62709677","34,45129032",,
set.-13,"0,64","43,15033333","28,87533333","34,03066667","87,17","76,21866667","25,743","34,289",,
out.-13,"3,07","41,18935484","29,62419355","34,85064516","8,19","70,55064516","26,68096774","33,85612903",,
nov.-13,"44,9","49,48966667","28,56266667","35,95066667","37,23","71,874","26,786","34,86733333",,
dez.-13,"40,04","50,77903226","29,06612903","36,06419355","13,51","71,35612903","27,31806452","34,89451613",,
jan.-14,"20,14","46,94419355","29,41354839","36,1316129","54,23","71,59258065","27,34677419","35,49322581",,
fev.-14,"63,72","56,08892857","28,175","36,36071429","39,83","73,3175","27,30821429","35,55642857",,
mar.-14,"197,86","70,01258065","26,64451613","36,13741935","153,66","75,85419355","27,50258065","35,97548387",,
abr.-14,"192,36","79,19566667","25,37833333","36,21133333","66,96","76,65866667","27,61433333","36,45233333",,
mai.-14,"85,03","74,38258065","25,23258065","35,29322581","107,67","76,17387097","27,14225806","36,28258065",,
jun.-14,"19,18","63,83766667","26,03066667","34,355","230,27","80,43366667","26,32166667","35,77033333",,
jul.-14,"20,08","54,25032258","26,30096774","33,89741935","109,64","78,87322581","25,58709677","34,62709677",,
ago.-14,"2,69","45,80129032","27,55290323","33,34548387","32,23","74,73741935","25,61419355","33,72806452",,
set.-14,"5,1","45,32","28,68866667","34,375","55,45","74,77766667","26,03066667","34,12333333",,
out.-14,"24,88","46,34548387","29,09064516","35,61612903","25,66","71,91258065","26,56387097","34,60548387",,
nov.-14,"10,54","45,411","29,641","35,80533333","16,57","70,12566667","27,01933333","34,41966667",,
dez.-14,"13,87","45,77870968","29,71935484","36,62","24,49","72,00645161","27,15516129","35,2883871",,
jan.-15,"25,21","47,54354839","29,12967742","35,95064516","28,12","72,15548387","27,21548387","34,92419355",,
fev.-15,"108,33","61,5775","27,52857143","36,30321429","75,99","74,39892857","27,52678571","36,24464286",,
mar.-15,"166,81","70,16516129","26,74129032","36,54193548","203,07","79,93645161","27,07225806","36,39096774",,
abr.-15,"51,02","65,90933333","27,31133333","35,92466667","105,41","77,74833333","27,38466667","36,189",,
mai.-15,"18,68","52,26258065","28,60483871","36,21870968","53,92","75,46645161","27,48387097","35,4716129",,
jun.-15,"24,63","53,514","27,611","35,28833333","138,54","77,552","26,596","35,67166667",,
jul.-15,"34,31","56,91451613","26,82548387","34,77258065","116,86","80,56645161","25,7383871","34,97258065",,
ago.-15,"1,49","44,54483871","27,91258065","32,93645161","23,41","74,80483871","25,70806452","33,51903226",,
set.-15,"2,25","41,906","29,24633333","33,75533333","7,13","70,207","26,45366667","33,44",,
out.-15,"1,38","41,25645161","29,92322581","34,79258065","9,93","69,37645161","26,74741935","34,06774194",,
nov.-15,"1,74","41,97166667","30,18866667","34,57466667","1,9","69,73633333","27,22133333","33,96333333",,
dez.-15,"9,73","46,69709677","29,88806452","35,73516129","68,03","73,04129032","27,44774194","35,25516129",,
jan.-16,"182,64","68,16419355","27,37548387","37,43258065","139,07","80,24612903","27,12354839","37,04548387",,
fev.-16,"42,89","65,66344828","27,28793103","36,27862069","98,47","78,49413793","27,50275862","36,49931034",,
mar.-16,"176,46","66,57677419","28,10129032","37,44709677","114,23","76,69645161","28,08354839","36,63096774",,
abr.-16,"71,07","73,99866667","26,47033333","36,10833333","187,71","80,40433333","27,69033333","36,927",,
mai.-16,31,"60,86387097","27,67516129","35,52419355","128,1","80,95064516","26,95","35,89193548",,
jun.-16,"9,91","50,187","27,83233333","34,13466667","96,41","79,34333333","26,331","34,65466667",,
jul.-16,"2,23","44,92483871","27,62387097","32,99612903","50,42","75,36193548","25,97967742","34,11032258",,
ago.-16,"0,18","41,1283871","28,32645161","32,95032258","28,82","71,5683871","26,17709677","33,69548387",,
set.-16,"0,56","40,13066667","29,28633333","34,022","19,3","70,85366667","26,432","33,28933333",,
out.-16,"2,5","40,02387097","30,18258065","34,51","11,36","70,24645161","27,04870968","34,02580645",,
nov.-16,"0,23","41,30466667","30,52166667","35,55966667","6,3","70,75933333","27,351","34,68566667",,
dez.-16,"29,45","47,08419355","29,79806452","36,06451613","51,76","72,11322581","27,5616129","35,40064516",,
jan.-17,"52,82","50,79","29,39741935","36,53967742","47,78","72,40741935","27,5983871","35,56419355",,
fev.-17,"117,55","63,43714286","27,72285714","36,20035714","70,15","74,86285714","27,62392857","36,28857143",,
mar.-17,"118,01","74,4","26,50806452","36,22451613","121,72","78,75354839","27,59677419","35,73645161",,
abr.-17,"67,14","67,84933333","27,14633333","35,51966667","191,76","80,28266667","27,44833333","36,69366667",,
mai.-17,"51,42","63,64967742","27,34451613","35,42967742","159,04","81,00483871","27,06096774","35,85032258",,
jun.-17,"30,75","57,98633333","27,09566667","34,17133333","117,29","78,97533333","26,67466667","35,44633333",,
jul.-17,"30,67","59,0216129","25,57129032","33,85193548","272,72","83,10096774","25,13709677","35,61870968",,
ago.-17,"1,67","44,98","27,97612903","32,63677419","28,66","77,68774194","25,41193548","33,50645161",,
set.-17,"3,23","42,65666667","28,373","33,31666667","34,85","73,79933333","25,78933333","34,247",,
out.-17,"1,04","42,26290323","30,04354839","34,71516129","30,04","73,45354839","26,61548387","34,82580645",,
nov.-17,"2,15","42,63166667","30,11633333","35,38033333","11,17","70,34533333","27,11533333","34,09166667",,
dez.-17,"5,08","45,6916129","30,14774194","36,3183871","18,68","73,08451613","27,45258065","35,07096774",,
jan.-18,"43,54","52,51741935","28,84709677","36,33645161","58,83","74,70096774","27,32548387","35,49258065",,
fev.-18,"201,76","70,76928571","26,91678571","36,52857143","250,59","79,32357143","27,09642857","36,44392857",,
mar.-18,"97,6","71,46774194","26,85129032","36,00967742","111,27","78,94","27,38387097","35,91451613",,
abr.-18,"226,38","82,929","24,99866667","35,85633333","221,68","83,19966667","26,75433333","36,622",,
mai.-18,"41,57","74,12709677","25,06612903","34,25806452","116,22","82,43419355","26,39322581","35,87935484",,
jun.-18,"8,21","56,83866667","26,18966667","32,74233333","99,94","79,35333333","25,84866667","34,714",,
jul.-18,"5,71","48,5183871","27,27225806","32,94451613","178,17","81,3083871","25,29709677","34,90612903",,
ago.-18,"3,38","43,51322581","28,07935484","32,50806452","24,86","75,14774194","25,74193548","33,50483871",,
set.-18,"1,29","41,726","29,26266667","33,84533333","18,33","73,93266667","26,11533333","33,655",,
out.-18,"4,84","42,38774194","30,24483871","35,30225806","3,53","70,25419355","27,07483871","34,04",,
nov.-18,"14,26","43,27733333","30,581","34,844","9,77","71,611","27,51066667","35,27133333",,
dez.-18,"63,9","53,84096774","28,70580645","35,33322581","33,55","73,14870968","27,58354839","35,33032258",,
jan.-19,"94,47","59,71354839","28,22612903","36,27354839","47,85","74,15451613","27,82","36,15483871",,
fev.-19,"112,22","69,47464286","27,45357143","36,33428571","125,23","79,17464286","27,78071429","36,96071429",,
mar.-19,"145,12","72,88903226","26,97645161","36,40870968","227,84","81,70419355","27,48322581","37,41580645",,
abr.-19,"95,79","76,09","26,519","36,19166667","230,16","83,115","27,34133333","37,296",,
mai.-19,"40,7","65,57935484","27,17290323","34,94774194","139,67","81,27612903","27,21806452","36,22677419",,
jun.-19,"36,75","56,90366667","27,01766667","33,9","150,98","79,832","26,29766667","35,17833333",,
jul.-19,"12,72","53,70935484","27,17741935","34,33419355","108,53","80,62483871","25,59129032","34,57290323",,
ago.-19,"3,05","45,62451613","27,63419355","33,04032258","40,27","76,13677419","25,50322581","33,67129032",,
set.-19,"1,04","41,51733333","29,36533333","33,86366667","22,99","73,57533333","26,145","33,84366667",,
out.-19,"2,17","40,10580645","30,15290323","34,63064516","11,51","70,62741935","26,75935484","33,78322581",,
nov.-19,"1,92","40,986","30,87766667","35,528","5,45","70,963","27,405","34,443",,
dez.-19,"19,02","43,21451613","30,73354839","36,11774194","14,38","70,91741935","27,73870968","34,96258065",,
