mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
fev.-95,"103,67","65,81678571","27,14035714","35,48714286","71,99","77,20607143","27,03357143","35,33571429",,
mar.-95,"163,16","69,49967742","26,84516129","35,78709677","163,82","77,75354839","27,27258065","35,76129032",,
abr.-95,"193,51","84,69766667","24,95566667","35,49066667","268,49","84,52633333","26,68533333","35,98166667",,
mai.-95,"215,9","83,42935484","24,78129032","34,95322581","219,07","82,79870968","26,43741935","35,53677419",,
jun.-95,"33,77","80,75733333","23,74966667","34,35966667","198,75","81,51066667","25,81233333","35,61633333",,
jul.-95,"30,58","68,01483871","24,33774194","34,05677419","181,47","81,32612903","24,84419355","35,08645161",,
ago.-95,1,"48,92193548","26,43419355","32,87483871","14,36","74,45645161","24,88290323","33,49580645",,
set.-95,"0,25","41,29233333","28,102","33,16","9,52","71,32","25,35333333","33,661",,
out.-95,"1,31","41,50774194","29,4183871","34,23774194","4,44","69,87451613","26,10258065","33,5983871",,
nov.-95,"33,5","47,77933333","29,00633333","35,423","33,2","73,76166667","26,31466667","34,68666667",,
dez.-95,"5,29","45,48741935","29,62935484","35,32709677","3,88","70,49419355","27,23548387","34,42645161",,
jan.-96,"108,93","59,22709677","27,86483871","34,69387097","34,6","72,32741935","27,36677419","34,94451613",,
fev.-96,"103,69","62,82448276","27,3937931","35,47172414","53,56","71,81517241","27,66724138","35,20068966",,
mar.-96,"177,37","81,92806452","25,47451613","35,35096774","224,52","80,09322581","27,07354839","35,99258065",,
abr.-96,"292,18","84,45933333","25,11966667","35,38266667","278,43","83,516","26,64233333","36,19266667",,
mai.-96,"111,35","82,64580645","24,23612903","34,04032258","103,39","80,21903226","26,58870968","35,30483871",,
jun.-96,"18,97","74,43","23,98966667","33,96866667","135,81","80,18866667","25,62166667","35,30366667",,
jul.-96,"15,66","60,10225806","25,38516129","33,87290323","102,87","77,88129032","25,15451613","34,96548387",,
ago.-96,"19,92","51,86387097","26,96774194","33,80129032","89,71","77,31451613","25,32645161","34,68483871",,
set.-96,"1,93","43,495","28,45366667","33,61133333","41,59","73,39633333","25,72133333","34,52066667",,
out.-96,"5,17","42,32258065","29,45548387","34,82741935","36,76","70,77129032","26,38741935","34,09096774",,
nov.-96,"25,99","47,925","29,02633333","35,23866667","23,58","72,36033333","26,77533333","34,77333333",,
dez.-96,"9,66","44,79548387","29,7516129","34,89483871","13,99","71,33645161","27,29870968","34,33",,
jan.-97,"114,15","57,47870968","28,01225806","35,71354839","26,54","71,83645161","27,40935484","35,11064516",,
fev.-97,"78,79","63,15857143","26,70892857","34,97071429","60,58","72,27678571","27,24857143","34,88642857",,
mar.-97,"216,12","68,61387097","26,92903226","35,41806452","140,11","79,21","26,99741935","35,45193548",,
abr.-97,"150,46","83,27233333","24,86033333","34,98333333","197,56","82,257","26,58066667","35,632",,
mai.-97,"78,48","78,03419355","24,60064516","34,25","170,31","79,71483871","26,20322581","35,40580645",,
jun.-97,"4,46","59,55733333","25,33533333","33,47733333","30,59","72,43966667","25,90066667","34,26033333",,
jul.-97,"8,61","50,55129032","26,53419355","33,25451613","53,5","73,27645161","25,42741935","34,05548387",,
ago.-97,"6,3","46,20741935","27,36193548","33,43225806","41,96","73,21290323","25,15354839","33,98096774",,
set.-97,"0,02","41,82833333","28,96666667","33,807","1,29","68,34","25,88933333","33,26566667",,
out.-97,"1,78","41,65516129","29,78741935","34,54354839","2,13","68,79032258","26,62516129","33,94903226",,
nov.-97,"5,64","42,34366667","29,96866667","35,45133333","1,66","68,98866667","27,15166667","34,204",,
dez.-97,"32,1","47,85290323","29,82354839","34,95774194","49,71","72,05322581","27,4083871","34,50709677",,
jan.-98,"112,57","64,40967742","28,07451613","36,08709677","83,59","76,53290323","27,73032258","35,95645161",,
fev.-98,"48,07","58,31964286","28,82107143","35,86785714","36,94","73,475","28,27678571","35,50785714",,
mar.-98,"111,67","61,1783871","28,85870968","36,24935484","54,28","74,51516129","28,58354839","36,39870968",,
abr.-98,"38,68","56,475","29,34566667","35,56466667","42,57","71,76333333","28,789","36,138",,
mai.-98,"9,62","48,39096774","29,57225806","35,49935484","69,8","72,83741935","27,85741935","35,66483871",,
jun.-98,"4,39","46,93233333","28,24866667","34,356","131,18","75,156","26,40233333","35,40366667",,
jul.-98,"11,21","48,48419355","27,63129032","34,22129032","213,45","77,51935484","25,65806452","34,95677419",,
ago.-98,"11,61","46,32903226","27,67","33,50032258","60,31","74,43322581","25,33032258","34,41806452",,
set.-98,0,"39,68833333","29,01033333","33,587","6,76","68,377","26,30133333","34,06633333",,
out.-98,"0,55","39,41612903","29,91903226","33,74516129","7,07","68,53967742","26,86741935","34,19032258",,
nov.-98,"1,57","42,88333333","30,17766667","35,392","8,79","69,345","27,35366667","34,31366667",,
dez.-98,"6,06","42,02709677","30,20193548","35,52935484","14,18","68,3783871","27,46032258","34,57774194",,
jan.-99,"61,88","55,53483871","28,36645161","35,27225806","31,79","70,89225806","27,55806452","35,04903226",,
fev.-99,"51,86","53,89321429","28,81785714","35,35571429","89,06","72,46321429","27,64071429","35,51357143",,
mar.-99,"180,03","70,90806452","26,53935484","35,15870968","107,13","76,82387097","27,20483871","35,34645161",,
abr.-99,"73,67","66,749","26,77533333","34,99133333","103,83","74,72166667","27,41133333","35,488",,
mai.-99,"169,44","76,5616129","25,06096774","34,26064516","164,08","78,86258065","26,62","35,38387097",,
jun.-99,"7,65","60,62533333","25,51733333","33,304","71,41","75,06166667","26,10266667","34,541",,
jul.-99,"2,4","48,07903226","26,31903226","33,01709677","51,81","70,14258065","25,91064516","34,31483871",,
ago.-99,"0,08","42,97903226","27,44903226","32,33064516","29,26","70,12064516","25,56645161","33,83677419",,
set.-99,"4,18","41,47633333","28,92733333","33,64533333","23,88","69,936","26,10233333","34,06766667",,
out.-99,"12,06","41,61516129","29,34967742","34,06096774","17,73","68,06774194","26,48032258","33,89483871",,
nov.-99,"28,81","45,56133333","29,43533333","35,39633333","6,14","68,23433333","27,28666667","34,58833333",,
dez.-99,"72,02","51,68967742","28,9","35,32032258","48,97","72,57548387","27,35290323","35,35064516",,
